Open,High,Low,Close,bband_lower,bband_upper,pct_b,Trade Counter,Buying Price,Units Bought,Buying Amount,Available Capital,Selling Price,Selling Amount,Profit
126.1,126.1,124.9,125.07,118.66976542472503,129.09623457527496,0.6138448676019331,,,,,,,,
125.4,125.5,124.55,125.42,119.98511254529365,128.57288745470635,0.6328632867111367,1.0,125.42,6182.0,775346.4400000001,173.6899999997113,,,
125.03,125.25,124.31,124.52,121.46064528050641,127.7433547194936,0.48694830617326357,,,0.0,,,125.03,772935.46,-2410.980000000098
125.1,125.1,122.84,123.08,122.5325978471043,127.01640215289568,0.12208430956468436,,,,,,,,
123.2,123.59,122.61,123.14,122.40436647420074,127.06563352579923,0.1578183608997446,,,,,,,,
123.5,124.1,122.52,123.03,122.39628976189974,127.06971023810024,0.13559880634054797,,,,,,,,
122.97,124.65,122.5,124.49,122.54885746751279,127.03514253248719,0.4326837248132568,1.0,124.49,6209.0,772958.4099999999,150.73999999975786,,,
124.4,124.4,123.51,123.68,122.78004132104286,126.91195867895715,0.21780655347168643,,,0.0,,,124.4,772399.6000000001,-558.809999999823
125.0,127.49,123.05,123.41,122.62793885714485,126.95006114285512,0.18094377973542775,,,,,,,,
124.15,125.0,122.9,124.07,122.55992445653155,126.92207554346848,0.34617680895798786,,,,,,,,
124.82,124.82,123.58,124.65,122.54302487683448,126.88597512316555,0.48514834471002766,1.0,124.65,6197.0,772456.05,94.28999999980442,,,
125.0,125.46,124.5,124.82,122.54605835107932,126.88994164892065,0.5234812938116207,,,0.0,,,125.0,774625.0,2168.9499999999534
125.6,125.6,124.0,124.29,122.50937263731228,126.80762736268773,0.41426752867285926,,,,,,,,
125.0,125.2,124.51,124.93,122.50719403153839,126.77780596846164,0.5673205630121296,1.0,124.93,6200.0,774566.0,153.28999999980442,,,
125.6,125.6,124.2,125.3,122.65781416196263,126.47718583803736,0.6917854720944081,,,0.0,,,125.6,778720.0,4154.0
125.02,125.6,125.0,125.48,122.79500629924814,126.22899370075183,0.7818880464081338,1.0,125.48,6206.0,778728.88,144.40999999979977,,,
126.0,126.17,125.1,126.04,122.73224745334105,126.42775254665895,0.8950745468163293,,,0.0,,,126.0,781956.0,3227.1199999999953
126.2,126.77,124.4,124.61,122.72390279701,126.40809720299,0.5119429093992918,,,,,,,,
125.5,125.5,121.58,121.94,122.2718849847204,126.48711501527961,-0.0787347267680132,,,,,,,,
123.89,123.89,121.0,121.8,121.8721937299134,126.50480627008663,-0.015583804880584466,,,,,,,,
122.5,122.55,121.1,121.35,121.40399131838636,126.60100868161366,-0.010388904753021243,,,,,,,,
122.3,122.3,121.51,122.2,121.21393538814473,126.46906461185526,0.1876385089459383,,,,,,,,
122.45,122.7,121.55,121.97,120.97975402484855,126.44824597515148,0.18108209432338965,,,,,,,,
122.5,122.5,121.7,122.22,120.86857323209436,126.47342676790565,0.2411172315691958,,,,,,,,
123.0,123.11,121.91,122.95,120.85021990198877,126.47278009801124,0.37345622364286435,,,,,,,,
123.65,123.65,122.75,123.27,120.87153621496779,126.47546378503219,0.427996928055343,1.0,123.27,6344.0,782024.88,75.52999999979511,,,
123.2,123.35,122.32,122.56,120.76053637189803,126.39346362810203,0.3194544410492928,,,0.0,,,123.2,781580.8,-444.0799999999581
126.0,126.0,120.55,120.72,120.33765452559801,126.52034547440199,0.06184127228224958,,,,,,,,
122.2,122.2,119.49,119.9,119.78240264583293,126.72459735416707,0.016939506756544587,,,,,,,,
120.5,120.7,119.45,119.69,119.24245583525604,126.82654416474398,0.05901093780828587,,,,,,,,
121.89,121.89,118.74,119.14,118.6719889959325,126.84601100406748,0.057255902125261014,,,,,,,,
122.49,122.49,118.84,118.99,118.17305867244762,126.76194132755238,0.0951161356322439,,,,,,,,
119.68,119.68,118.5,119.32,117.79536063143048,126.64263936856953,0.1723286237348201,,,,,,,,
119.5,119.5,118.0,118.36,117.3405458070553,126.4404541929447,0.11202906114148257,,,,,,,,
118.38,119.0,117.1,117.25,116.78627982206736,126.18972017793267,0.049313885172186135,,,,,,,,
117.3,117.78,114.41,117.58,116.47677643522326,125.70922356477675,0.11949416544669623,,,,,,,,
117.5,117.6,115.1,116.27,116.12681039368222,125.08218960631778,0.01598922869907542,,,,,,,,
116.0,117.09,114.9,116.34,115.74344881098067,124.63855118901934,0.0670651290638516,,,,,,,,
116.1,116.1,114.2,115.15,114.9523947111152,124.75060528888477,0.020167487452569518,,,,,,,,
115.0,116.5,114.34,115.87,114.43942419766127,124.67057580233872,0.13982549155900595,,,,,,,,
117.89,117.89,114.71,114.91,113.79272872193424,124.67327127806574,0.10268525418671726,,,,,,,,
115.9,117.42,114.83,116.94,113.62594279891947,124.31405720108053,0.3100693982476882,,,,,,,,
118.0,118.35,117.0,117.62,113.57092586405294,123.93407413594703,0.39071853742829926,,,,,,,,
118.2,118.3,115.5,115.76,113.35373104088501,123.505268959115,0.23703491810771368,,,,,,,,
116.49,117.27,115.72,116.71,113.46197300738717,122.77302699261287,0.34883558808343545,,,,,,,,
117.0,117.68,115.75,117.01,113.81319115254297,121.79580884745704,0.400471245102193,1.0,117.01,6679.0,781509.79,146.53999999980442,,,
118.0,118.03,116.9,117.13,114.22317348204673,120.84282651795324,0.43912067629314894,,,0.0,,,118.0,788122.0,6612.209999999963
117.4,117.4,116.3,116.71,114.3677110219765,120.29728897802352,0.3950178234244837,,,,,,,,
