Date,Open,High,Low,Close
6/29/2021,184.43,184.43,166.66,169.33
6/30/2021,173.35,173.35,160.15,169.13
07/01/21,173.45,173.45,168.51,168.92
07/02/21,171.85,171.85,167.55,169.34
07/05/21,172.4,173.88,166.5,170.13
07/06/21,170.9,171,168.75,170.17
07/07/21,172.25,172.25,169.14,170.46
07/08/21,172.2,180.7,169.02,169.47
07/09/21,173.4,173.4,168.5,169.07
07/12/21,176.39,176.39,165.17,169.04
7/13/2021,172.85,172.85,169.25,170.17
7/14/2021,172.35,172.35,166.55,170.6
7/15/2021,184.9,184.9,169.5,171.28
7/16/2021,173.2,173.2,151.7,171.41
7/19/2021,174.94,174.94,169.02,169.77
7/20/2021,184.83,184.83,167.96,168.54
7/22/2021,172.6,172.6,168.81,170.36
7/23/2021,172.78,172.78,166.05,170.57
7/26/2021,174.84,174.84,169.1,170.28
7/27/2021,174.74,174.74,169.24,169.68
7/28/2021,172.55,172.55,167.4,169.34
7/29/2021,170.25,170.95,168.45,169.95
7/30/2021,179.9,179.9,135.51,169.69
08/02/21,174.69,174.69,170,171
08/03/21,172.58,173.4,161,173.27
08/04/21,174.75,175,173.15,174.67
08/05/21,177.4,177.4,172.55,175.13
08/06/21,188.75,188.75,174.65,174.85
08/09/21,177.8,177.8,170.15,175.41
08/10/21,175.9,176.25,174.82,175.63
08/11/21,188.95,188.95,160.15,175.37
08/12/21,176.7,176.7,174.55,176.17
8/13/2021,189.8,189.8,175.55,177.94
8/16/2021,179.9,179.9,176.6,178.6
8/17/2021,182.44,182.44,155.4,178.91
8/18/2021,194.75,194.75,174.63,178.76
8/20/2021,194,194,176.08,177.32
8/23/2021,193.43,193.43,177,178.1
8/24/2021,188.43,188.43,167.45,179.46
8/25/2021,193.95,193.95,179.2,179.47
8/26/2021,190,190,179,179.52
8/27/2021,184.83,184.83,168.7,180.24
8/30/2021,187.95,187.95,179.3,182.57
8/31/2021,193.43,193.43,182.01,184.55
09/01/21,187.7,187.7,171.16,184.31
09/02/21,185.25,186,180.25,185.96
09/03/21,172.31,193.39,172.31,186.91
09/06/21,186.96,188.45,186.96,187.55
09/07/21,187.95,188.4,186.6,187.17
09/08/21,188.44,188.44,186.35,187.14
09/09/21,193.39,193.39,186.05,187.42
9/13/2021,188.2,188.2,186.45,187.11
9/14/2021,214.83,214.83,180.16,187.54
9/15/2021,163.2,192.35,163.2,189.01
9/16/2021,191.95,191.95,188.6,190.22
9/17/2021,173.1,195.39,173.1,189.82
9/20/2021,187.45,190.24,187.4,187.86
9/21/2021,199.65,199.65,187.12,189.66
9/22/2021,192.84,192.84,189.06,189.69
9/23/2021,194.4,194.4,190,192.29
9/24/2021,197.4,197.4,188,192.63
9/27/2021,204.74,204.74,183.66,192.79
9/28/2021,221.7,221.7,189.86,191.44
9/29/2021,174.2,209,174.2,191.15
9/30/2021,197.44,197.44,189.2,190.11
10/01/21,193.5,193.5,188.42,189.22
10/04/21,187.05,197.39,187.05,191.03
10/05/21,191.65,192.3,189.7,192.2
10/06/21,199.39,199.39,187.1,190.19
10/07/21,187.05,193.07,187.05,191.82
10/08/21,197.44,197.44,190.15,192.58
10/11/21,193.12,194,167.5,193.09
10/12/21,219.8,219.8,182.6,193.66
10/13/2021,204.85,204.85,185.25,195.56
10/14/2021,205.28,205.28,195.75,197.11
